
Single datacenter : one node  

[root@cassandra01 conf]# nodetool ring

Datacenter: datacenter1
==========
Address      Rack        Status State   Load            Owns                Token
172.20.0.41  rack1       Up     Normal  1.36 MiB        29.57%              -8616225755014709859        
172.20.0.43  rack1       Up     Normal  88.1 KiB        33.89%              -8568906006110765776        
172.20.0.42  rack1       Up     Normal  70.2 KiB        36.54%              -8548587559051694515        
172.20.0.43  rack1       Up     Normal  88.1 KiB        33.89%              -8539982314575762991        
172.20.0.41  rack1       Up     Normal  1.36 MiB        29.57%              -8523617447172335871        
172.20.0.41  rack1       Up     Normal  1.36 MiB        29.57%              -8487828143091230188        
172.20.0.42  rack1       Up     Normal  70.2 KiB        36.54%              -8479664518834283730        
172.20.0.43  rack1       Up     Normal  88.1 KiB        33.89%              -8476293228865001907        
172.20.0.42  rack1       Up     Normal  70.2 KiB        36.54%              -8466225727456563796        
172.20.0.41  rack1       Up     Normal  1.36 MiB        29.57%              -8442015857984795285        
172.20.0.41  rack1       Up     Normal  1.36 MiB        29.57%              -8438443800613350002        
172.20.0.43  rack1       Up     Normal  88.1 KiB        33.89%              -8385158721209361881        
172.20.0.42  rack1       Up     Normal  70.2 KiB        36.54%              -8365643700860341831        
172.20.0.41  rack1       Up     Normal  1.36 MiB        29.57%              -8359823233619470771        
172.20.0.41  rack1       Up     Normal  1.36 MiB        29.57%              -8346880495478372135        
172.20.0.41  rack1       Up     Normal  1.36 MiB        29.57%              -8338967983064678527        
172.20.0.42  rack1       Up     Normal  70.2 KiB        36.54%              -8263543062637545046        
172.20.0.41  rack1       Up     Normal  1.36 MiB        29.57%              -8258773657837615539        
172.20.0.42  rack1       Up     Normal  70.2 KiB        36.54%              -8212092405293003112        
172.20.0.43  rack1       Up     Normal  88.1 KiB        33.89%              -8202691822398092752        
172.20.0.43  rack1       Up     Normal  88.1 KiB        33.89%              -8179312186473620933        
172.20.0.43  rack1       Up     Normal  88.1 KiB        33.89%              -8171186565397589903        
172.20.0.42  rack1       Up     Normal  70.2 KiB        36.54%              -8165571408284920554        
172.20.0.43  rack1       Up     Normal  88.1 KiB        33.89%              -8148103885244001298        
172.20.0.43  rack1       Up     Normal  88.1 KiB        33.89%              -8075590156291416987        
172.20.0.43  rack1       Up     Normal  88.1 KiB        33.89%              -8048162885972371201        
172.20.0.43  rack1       Up     Normal  88.1 KiB        33.89%              -8043937214189730555        
172.20.0.42  rack1       Up     Normal  70.2 KiB        36.54%              -8033187669387979535        
172.20.0.43  rack1       Up     Normal  88.1 KiB        33.89%              -8016001608407377019        
172.20.0.41  rack1       Up     Normal  1.36 MiB        29.57%              -7969792296536043775        
172.20.0.43  rack1       Up     Normal  88.1 KiB        33.89%              -7938535426025009807        
172.20.0.42  rack1       Up     Normal  70.2 KiB        36.54%              -7915996764570447776        
172.20.0.41  rack1       Up     Normal  1.36 MiB        29.57%              -7905687341229873904        
172.20.0.43  rack1       Up     Normal  88.1 KiB        33.89%              -7886416874458054467        
172.20.0.43  rack1       Up     Normal  88.1 KiB        33.89%              -7876929827109314146        
172.20.0.41  rack1       Up     Normal  1.36 MiB        29.57%              -7854774170462038095        
172.20.0.41  rack1       Up     Normal  1.36 MiB        29.57%              -7841646167069766306        
172.20.0.43  rack1       Up     Normal  88.1 KiB        33.89%              -7819649104130424043        
172.20.0.41  rack1       Up     Normal  1.36 MiB        29.57%              -7811424728001298007        
172.20.0.43  rack1       Up     Normal  88.1 KiB        33.89%              -7804327869394297973        
172.20.0.41  rack1       Up     Normal  1.36 MiB        29.57%              -7799014415797426558        
172.20.0.42  rack1       Up     Normal  70.2 KiB        36.54%              -7785879334866226244        
172.20.0.41  rack1       Up     Normal  1.36 MiB        29.57%              -7781011325526035947        
172.20.0.42  rack1       Up     Normal  70.2 KiB        36.54%              -7772268633147878781        
172.20.0.42  rack1       Up     Normal  70.2 KiB        36.54%              -7707287994589301403        
172.20.0.42  rack1       Up     Normal  70.2 KiB        36.54%              -7683445897866020025        
172.20.0.43  rack1       Up     Normal  88.1 KiB        33.89%              -7678823601342622353        
172.20.0.43  rack1       Up     Normal  88.1 KiB        33.89%              -7667299875154857727        
172.20.0.43  rack1       Up     Normal  88.1 KiB        33.89%              -7666823603305565559        
172.20.0.42  rack1       Up     Normal  70.2 KiB        36.54%              -7617241472701979402        
172.20.0.43  rack1       Up     Normal  88.1 KiB        33.89%              -7603536821485324433        
172.20.0.42  rack1       Up     Normal  70.2 KiB        36.54%              -7599488341355563952        
172.20.0.41  rack1       Up     Normal  1.36 MiB        29.57%              -7590026985244489989        
172.20.0.43  rack1       Up     Normal  88.1 KiB        33.89%              -7584291434780595084        
172.20.0.43  rack1       Up     Normal  88.1 KiB        33.89%              -7583504451744094534        
172.20.0.41  rack1       Up     Normal  1.36 MiB        29.57%              -7572402870197771087        
